contestant,series,round,episode,tech_rank_scaled,sig_sum,showstopper_sum,tech_rank,n_remaining,series_winner,eliminated_round,baker_id,signature_bake,signature_flavor,signature_looks,first_half_review,showstopper_bake,showstopper_flavor,showstopper_looks,second_half_review,star_baker,eliminated,sig_ss_sum,season,gender,age,occupation,hometown
Helena,7,1,7.1,-2.5,0,3,12,13,0,5,7.Helena,0,1,-1,NA,1,1,1,NA,0,0,3,10,F,40,Online project manager,Leeds
Henry,7,1,7.1,3,1,2,1,13,0,8,7.Henry,1,1,-1,NA,0,1,1,NA,0,0,3,10,M,20,Student,Durham
Jamie,7,1,7.1,-3,2,-2,13,13,0,2,7.Jamie,1,1,0,NA,-1,-1,0,-1,0,0,0,10,M,20,Part-time waiter,Surrey
Michael,7,1,7.1,-2,3,1,11,13,0,7,7.Michael,1,1,1,NA,1,-1,1,NA,0,0,4,10,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Michelle,7,1,7.1,0.4999999999999999,1,3,6,13,0,5,7.Michelle,-1,1,1,NA,1,1,1,1,1,0,4,10,F,35,Print shop administrator,"Tenby, Wales"
Phil,7,1,7.1,-0.5000000000000002,0,-1,8,13,0,4,7.Phil,0,-1,1,NA,0,-1,0,NA,0,0,-1,10,M,56,HGV driver,Rainham
Priya,7,1,7.1,0,3,0,7,13,0,6,7.Priya,1,1,1,NA,0,1,-1,NA,0,0,3,10,F,34,Marketing consultant,Leicester
Rosie,7,1,7.1,2.5,-3,2,2,13,0,9,7.Rosie,-1,-1,-1,NA,1,1,0,NA,0,0,-1,10,F,28,Veterinary surgeon,Somerset
Steph,7,1,7.1,2,3,1,3,13,0,10,7.Steph,1,1,1,NA,-1,1,1,1,0,0,4,10,F,28,Shop assistant,Chester
Alice,7,2,7.2,3,3,3,1,12,0,10,7.Alice,1,1,1,NA,1,1,1,1,1,0,6,10,F,28,Geography teacher,Essex
Amelia,7,2,7.2,-1.3636363636363638,-1,-1,9,12,0,3,7.Amelia,-1,1,-1,NA,1,-1,-1,-1,0,0,-2,10,F,24,Fashion designer,Halifax
David,7,2,7.2,2.454545454545454,1,3,2,12,1,10,7.David,1,1,-1,NA,1,1,1,1,0,0,4,10,M,36,International health adviser,Whitby
Helena,7,2,7.2,-3,-1,3,12,12,0,5,7.Helena,-1,0,0,NA,1,1,1,NA,0,0,2,10,F,40,Online project manager,Leeds
Henry,7,2,7.2,0.2727272727272728,2,-1,6,12,0,8,7.Henry,0,1,1,NA,-1,1,-1,NA,0,0,1,10,M,20,Student,Durham
Jamie,7,2,7.2,-2.454545454545454,-2,1,11,12,0,2,7.Jamie,0,-1,-1,NA,1,1,-1,-1,0,1,-1,10,M,20,Part-time waiter,Surrey
Michael,7,2,7.2,1.3636363636363638,1,0,4,12,0,7,7.Michael,0,1,0,NA,-1,0,1,NA,0,0,1,10,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Michelle,7,2,7.2,-0.8181818181818181,3,1,8,12,0,5,7.Michelle,1,1,1,NA,1,1,-1,NA,0,0,4,10,F,35,Print shop administrator,"Tenby, Wales"
Phil,7,2,7.2,1.9090909090909092,1,0,3,12,0,4,7.Phil,1,1,-1,NA,-1,0,1,NA,0,0,1,10,M,56,HGV driver,Rainham
Priya,7,2,7.2,-0.2727272727272725,-2,-1,7,12,0,6,7.Priya,0,-1,-1,NA,-1,-1,1,NA,0,0,-3,10,F,34,Marketing consultant,Leicester
Rosie,7,2,7.2,0.8181818181818181,3,2,5,12,0,9,7.Rosie,1,1,1,NA,0,1,1,1,0,0,5,10,F,28,Veterinary surgeon,Somerset
Steph,7,2,7.2,-1.9090909090909094,0,1,10,12,0,10,7.Steph,0,-1,1,NA,-1,1,1,NA,0,0,1,10,F,28,Shop assistant,Chester
Alice,7,3,7.3,-0.5999999999999999,1,2,7,11,0,10,7.Alice,-1,1,1,-1,1,0,1,-1,0,0,3,10,F,28,Geography teacher,Essex
Amelia,7,3,7.3,-3,0,-2,11,11,0,3,7.Amelia,0,1,-1,-1,-1,-1,0,-1,0,1,-2,10,F,24,Fashion designer,Halifax
David,7,3,7.3,2.4000000000000004,0,-2,2,11,1,10,7.David,0,0,0,1,-1,-1,0,NA,0,0,-2,10,M,36,International health adviser,Whitby
Helena,7,3,7.3,-1.1999999999999997,0,-3,8,11,0,5,7.Helena,0,1,-1,NA,-1,-1,-1,NA,0,0,-3,10,F,40,Online project manager,Leeds
Henry,7,3,7.3,3,0,-1,1,11,0,8,7.Henry,0,-1,1,NA,-1,1,-1,-1,0,0,-1,10,M,20,Student,Durham
Michael,7,3,7.3,0,3,3,6,11,0,7,7.Michael,1,1,1,NA,1,1,1,1,1,0,6,10,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Michelle,7,3,7.3,0.5999999999999999,1,1,5,11,0,5,7.Michelle,1,1,-1,1,-1,1,1,NA,0,0,2,10,F,35,Print shop administrator,"Tenby, Wales"
Phil,7,3,7.3,-2.4000000000000004,3,2,10,11,0,4,7.Phil,1,1,1,NA,1,1,0,NA,0,0,5,10,M,56,HGV driver,Rainham
Priya,7,3,7.3,1.2000000000000002,1,-1,4,11,0,6,7.Priya,0,1,0,1,1,-1,-1,NA,0,0,0,10,F,34,Marketing consultant,Leicester
Rosie,7,3,7.3,-1.8000000000000003,2,2,9,11,0,9,7.Rosie,1,1,0,-1,1,0,1,NA,0,0,4,10,F,28,Veterinary surgeon,Somerset
Steph,7,3,7.3,1.7999999999999998,1,3,3,11,0,10,7.Steph,-1,1,1,NA,1,1,1,1,0,0,4,10,F,28,Shop assistant,Chester
Alice,7,4,7.4,-1.6666666666666667,1,3,8,10,0,10,7.Alice,1,-1,1,NA,1,1,1,NA,0,0,4,10,F,28,Geography teacher,Essex
David,7,4,7.4,2.3333333333333335,3,3,2,10,1,10,7.David,1,1,1,1,1,1,1,1,0,0,6,10,M,36,International health adviser,Whitby
Helena,7,4,7.4,-2.333333333333333,3,3,9,10,0,5,7.Helena,1,1,1,NA,1,1,1,NA,0,0,6,10,F,40,Online project manager,Leeds
Henry,7,4,7.4,1.6666666666666667,3,-1,3,10,0,8,7.Henry,1,1,1,1,-1,1,-1,NA,0,0,2,10,M,20,Student,Durham
Michael,7,4,7.4,-0.9999999999999998,1,3,7,10,0,7,7.Michael,1,1,-1,-1,1,1,1,-1,0,0,4,10,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Michelle,7,4,7.4,0.3333333333333335,0,1,5,10,0,5,7.Michelle,-1,0,1,NA,0,0,1,NA,0,0,1,10,F,35,Print shop administrator,"Tenby, Wales"
Phil,7,4,7.4,-0.3333333333333335,-1,0,6,10,0,4,7.Phil,1,-1,-1,NA,0,-1,1,-1,0,1,-1,10,M,56,HGV driver,Rainham
Priya,7,4,7.4,-3,3,1,10,10,0,6,7.Priya,1,1,1,-1,1,1,-1,-1,0,0,4,10,F,34,Marketing consultant,Leicester
Rosie,7,4,7.4,1,3,3,4,10,0,9,7.Rosie,1,1,1,NA,1,1,1,NA,0,0,6,10,F,28,Veterinary surgeon,Somerset
Steph,7,4,7.4,3,3,3,1,10,0,10,7.Steph,1,1,1,1,1,1,1,1,1,0,6,10,F,28,Shop assistant,Chester
Alice,7,5,7.5,-0.75,-1,1,6,9,0,10,7.Alice,0,-1,0,NA,1,1,-1,NA,0,0,0,10,F,28,Geography teacher,Essex
David,7,5,7.5,-3,3,3,9,9,1,10,7.David,1,1,1,NA,1,1,1,1,0,0,6,10,M,36,International health adviser,Whitby
Helena,7,5,7.5,3,0,-1,1,9,0,5,7.Helena,0,-1,1,NA,1,-1,-1,-1,0,1,-1,10,F,40,Online project manager,Leeds
Henry,7,5,7.5,1.5,1,1,3,9,0,8,7.Henry,-1,1,1,NA,-1,1,1,1,0,0,2,10,M,20,Student,Durham
Michael,7,5,7.5,-2.25,2,1,8,9,0,7,7.Michael,1,1,0,NA,1,-1,1,NA,0,0,3,10,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Michelle,7,5,7.5,-1.5,0,-2,7,9,0,5,7.Michelle,0,-1,1,NA,-1,-1,0,-1,0,1,-2,10,F,35,Print shop administrator,"Tenby, Wales"
Priya,7,5,7.5,2.25,-1,1,2,9,0,6,7.Priya,-1,1,-1,-1,1,1,-1,-1,0,0,0,10,F,34,Marketing consultant,Leicester
Rosie,7,5,7.5,0,-1,2,5,9,0,9,7.Rosie,-1,1,-1,NA,1,1,0,-1,0,0,1,10,F,28,Veterinary surgeon,Somerset
Steph,7,5,7.5,0.75,3,2,4,9,0,10,7.Steph,1,1,1,NA,1,1,0,1,1,0,5,10,F,28,Shop assistant,Chester
Alice,7,6,7.6,3,0,3,1,7,0,10,7.Alice,0,-1,1,1,1,1,1,1,0,0,3,10,F,28,Geography teacher,Essex
David,7,6,7.6,2,1,1,2,7,1,10,7.David,1,-1,1,NA,-1,1,1,NA,0,0,2,10,M,36,International health adviser,Whitby
Henry,7,6,7.6,0,1,-1,4,7,0,8,7.Henry,1,1,-1,NA,-1,-1,1,-1,0,0,0,10,M,20,Student,Durham
Michael,7,6,7.6,-2,1,0,6,7,0,7,7.Michael,-1,1,1,-1,-1,1,0,-1,0,0,1,10,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Priya,7,6,7.6,-3,-3,2,7,7,0,6,7.Priya,-1,-1,-1,-1,1,0,1,-1,0,1,-1,10,F,34,Marketing consultant,Leicester
Rosie,7,6,7.6,-0.9999999999999998,1,-2,5,7,0,9,7.Rosie,1,1,-1,NA,-1,-1,0,-1,0,0,-1,10,F,28,Veterinary surgeon,Somerset
Steph,7,6,7.6,1,2,3,3,7,0,10,7.Steph,1,0,1,1,1,1,1,1,1,0,5,10,F,28,Shop assistant,Chester
Alice,7,7,7.7,-3,0,3,6,6,0,10,7.Alice,1,-1,0,-1,1,1,1,NA,0,0,3,10,F,28,Geography teacher,Essex
David,7,7,7.7,1.7999999999999998,3,-1,2,6,1,10,7.David,1,1,1,NA,-1,0,0,1,0,0,2,10,M,36,International health adviser,Whitby
Henry,7,7,7.7,0.5999999999999999,3,3,3,6,0,8,7.Henry,1,1,1,NA,1,1,1,1,1,0,6,10,M,20,Student,Durham
Michael,7,7,7.7,-1.8000000000000003,1,-1,5,6,0,7,7.Michael,0,1,0,NA,-1,0,0,-1,0,1,0,10,M,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Rosie,7,7,7.7,3,3,0,1,6,0,9,7.Rosie,1,1,1,NA,0,1,-1,-1,0,0,3,10,F,28,Veterinary surgeon,Somerset
Steph,7,7,7.7,-0.5999999999999999,3,2,4,6,0,10,7.Steph,1,1,1,NA,1,1,0,1,0,0,5,10,F,28,Shop assistant,Chester
Alice,7,8,7.8,0,1,-1,3,5,0,10,7.Alice,0,1,0,-1,-1,-1,1,NA,0,0,0,10,F,28,Geography teacher,Essex
David,7,8,7.8,3,-1,-1,1,5,1,10,7.David,-1,1,-1,NA,-1,-1,1,1,0,0,-2,10,M,36,International health adviser,Whitby
Henry,7,8,7.8,-3,3,-3,5,5,0,8,7.Henry,1,1,1,-1,-1,-1,-1,-1,0,1,0,10,M,20,Student,Durham
Rosie,7,8,7.8,1.5,-3,1,2,5,0,9,7.Rosie,-1,-1,-1,-1,-1,1,1,-1,0,0,-2,10,F,28,Veterinary surgeon,Somerset
Steph,7,8,7.8,-1.5,0,3,4,5,0,10,7.Steph,0,1,-1,NA,1,1,1,1,1,0,3,10,F,28,Shop assistant,Chester
Alice,7,9,7.9,-3,2,1,4,4,0,10,7.Alice,1,1,0,NA,-1,1,1,1,1,0,3,10,F,28,Geography teacher,Essex
David,7,9,7.9,1,1,-1,2,4,1,10,7.David,0,1,0,NA,-1,1,-1,-1,0,0,0,10,M,36,International health adviser,Whitby
Rosie,7,9,7.9,3,1,-1,1,4,0,9,7.Rosie,-1,1,1,NA,-1,0,0,-1,0,1,0,10,F,28,Veterinary surgeon,Somerset
Steph,7,9,7.9,-0.9999999999999998,2,3,3,4,0,10,7.Steph,0,1,1,NA,1,1,1,1,0,0,5,10,F,28,Shop assistant,Chester
Alice,7,10,7.10,0,0,3,2,3,0,10,7.Alice,1,0,-1,NA,1,1,1,1,0,1,3,10,F,28,Geography teacher,Essex
David,7,10,7.10,3,1,3,1,3,1,10,7.David,1,-1,1,NA,1,1,1,1,1,0,4,10,M,36,International health adviser,Whitby
Steph,7,10,7.10,-3,2,-1,3,3,0,10,7.Steph,0,1,1,NA,0,0,-1,-1,0,1,1,10,F,28,Shop assistant,Chester
Dave,8,1,8.1,-1.3636363636363638,3,-1,9,12,0,10,8.Dave,1,1,1,NA,-1,-1,1,NA,0,0,2,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,1,8.1,0.8181818181818181,3,3,5,12,0,9,8.Hermine,1,1,1,1,1,1,1,1,0,0,6,11,F,39,Accountant,London
Laura,8,1,8.1,0.2727272727272728,-1,2,6,12,0,10,8.Laura,0,-1,0,NA,1,1,0,NA,0,0,1,11,F,31,Digital manager,"Gravesend, Kent"
Linda,8,1,8.1,-3,-1,2,12,12,0,5,8.Linda,-1,0,0,-1,1,1,0,-1,0,0,1,11,F,61,Retirement living team leader,"Bexhill-on-Sea, East Sussex"
Loriea,8,1,8.1,-1.9090909090909094,-1,-2,10,12,0,1,8.Loriea,-1,-1,1,-1,0,-1,-1,-1,0,1,-3,11,F,27,Diagnostic radiographer,Durham
Lottie,8,1,8.1,1.3636363636363638,1,1,4,12,0,7,8.Lottie,1,1,-1,NA,-1,1,1,NA,0,0,2,11,F,31,Pantomime producer,West Sussex
Mak,8,1,8.1,-0.8181818181818181,0,1,8,12,0,2,8.Mak,0,-1,1,NA,-1,1,1,NA,0,0,1,11,M,51,Accountant,Manchester
Marc,8,1,8.1,-2.454545454545454,0,0,11,12,0,8,8.Marc,0,0,0,-1,0,1,-1,-1,0,0,0,11,M,51,Bronze resin sculptor,"St Eval, Cornwall"
Mark,8,1,8.1,-0.2727272727272725,1,3,7,12,0,6,8.Mark,1,0,0,NA,1,1,1,NA,0,0,4,11,M,32,Project manager,"Portadown, Northern Ireland"
Peter,8,1,8.1,2.454545454545454,3,3,2,12,1,10,8.Peter,1,1,1,1,1,1,1,1,1,0,6,11,M,20,Accounting & finance student,Edinburgh
Rowan,8,1,8.1,1.9090909090909092,0,3,3,12,0,3,8.Rowan,-1,0,1,NA,1,1,1,NA,0,0,3,11,M,55,Music teacher,"Pershore, Worcestershire"
Sura,8,1,8.1,3,3,3,1,12,0,4,8.Sura,1,1,1,1,1,1,1,1,0,0,6,11,F,31,Hospital pharmacy dispenser,London
Dave,8,2,8.2,3,3,3,1,11,0,10,8.Dave,1,1,1,NA,1,1,1,1,1,0,6,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,2,8.2,0.5999999999999999,-2,0,5,11,0,9,8.Hermine,-1,0,-1,NA,0,-1,1,NA,0,0,-2,11,F,39,Accountant,London
Laura,8,2,8.2,-0.5999999999999999,2,0,7,11,0,10,8.Laura,1,0,1,NA,0,1,-1,NA,0,0,2,11,F,31,Digital manager,"Gravesend, Kent"
Linda,8,2,8.2,1.2000000000000002,1,0,4,11,0,5,8.Linda,1,1,-1,NA,-1,0,1,NA,0,0,1,11,F,61,Retirement living team leader,"Bexhill-on-Sea, East Sussex"
Lottie,8,2,8.2,-1.1999999999999997,3,3,8,11,0,7,8.Lottie,1,1,1,NA,1,1,1,NA,0,0,6,11,F,31,Pantomime producer,West Sussex
Mak,8,2,8.2,1.7999999999999998,-1,0,3,11,0,2,8.Mak,-1,1,-1,NA,0,1,-1,-1,0,1,-1,11,M,51,Accountant,Manchester
Marc,8,2,8.2,-1.8000000000000003,2,3,9,11,0,8,8.Marc,0,1,1,NA,1,1,1,1,0,0,5,11,M,51,Bronze resin sculptor,"St Eval, Cornwall"
Mark,8,2,8.2,2.4000000000000004,-2,2,2,11,0,6,8.Mark,0,-1,-1,NA,0,1,1,1,0,0,0,11,M,32,Project manager,"Portadown, Northern Ireland"
Peter,8,2,8.2,-2.4000000000000004,2,3,10,11,1,10,8.Peter,0,1,1,NA,1,1,1,NA,0,0,5,11,M,20,Accounting & finance student,Edinburgh
Rowan,8,2,8.2,-3,-1,0,11,11,0,3,8.Rowan,-1,1,-1,NA,-1,1,0,-1,0,0,-1,11,M,55,Music teacher,"Pershore, Worcestershire"
Sura,8,2,8.2,0,3,1,6,11,0,4,8.Sura,1,1,1,NA,1,1,-1,NA,0,0,4,11,F,31,Hospital pharmacy dispenser,London
Dave,8,3,8.3,-2.333333333333333,1,0,9,10,0,10,8.Dave,1,-1,1,-1,-1,1,0,-1,0,0,1,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,3,8.3,-0.9999999999999998,3,1,7,10,0,9,8.Hermine,1,1,1,1,1,-1,1,NA,0,0,4,11,F,39,Accountant,London
Laura,8,3,8.3,-0.3333333333333335,1,1,6,10,0,10,8.Laura,-1,1,1,NA,-1,1,1,NA,0,0,2,11,F,31,Digital manager,"Gravesend, Kent"
Linda,8,3,8.3,3,1,-1,1,10,0,5,8.Linda,-1,1,1,NA,-1,-1,1,NA,0,0,0,11,F,61,Retirement living team leader,"Bexhill-on-Sea, East Sussex"
Lottie,8,3,8.3,0.3333333333333335,3,2,5,10,0,7,8.Lottie,1,1,1,1,1,0,1,NA,0,0,5,11,F,31,Pantomime producer,West Sussex
Marc,8,3,8.3,2.3333333333333335,2,3,2,10,0,8,8.Marc,1,0,1,1,1,1,1,1,1,0,5,11,M,51,Bronze resin sculptor,"St Eval, Cornwall"
Mark,8,3,8.3,1.6666666666666667,3,0,3,10,0,6,8.Mark,1,1,1,1,1,0,-1,NA,0,0,3,11,M,32,Project manager,"Portadown, Northern Ireland"
Peter,8,3,8.3,1,1,1,4,10,1,10,8.Peter,-1,1,1,NA,0,1,0,-1,0,0,2,11,M,20,Accounting & finance student,Edinburgh
Rowan,8,3,8.3,-3,-1,-1,10,10,0,3,8.Rowan,-1,1,-1,-1,-1,-1,1,-1,0,1,-2,11,M,55,Music teacher,"Pershore, Worcestershire"
Sura,8,3,8.3,-1.6666666666666667,0,3,8,10,0,4,8.Sura,-1,1,0,NA,1,1,1,1,0,0,3,11,F,31,Hospital pharmacy dispenser,London
Dave,8,4,8.4,-2.25,1,3,8,9,0,10,8.Dave,-1,1,1,NA,1,1,1,NA,0,0,4,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,4,8.4,0,-2,2,5,9,0,9,8.Hermine,0,-1,-1,NA,1,1,0,NA,0,0,0,11,F,39,Accountant,London
Laura,8,4,8.4,2.25,-3,0,2,9,0,10,8.Laura,-1,-1,-1,NA,-1,1,0,NA,0,0,-3,11,F,31,Digital manager,"Gravesend, Kent"
Linda,8,4,8.4,3,0,1,1,9,0,5,8.Linda,-1,1,0,NA,1,1,-1,NA,0,0,1,11,F,61,Retirement living team leader,"Bexhill-on-Sea, East Sussex"
Lottie,8,4,8.4,-3,-2,1,9,9,0,7,8.Lottie,-1,0,-1,NA,-1,1,1,-1,0,0,-1,11,F,31,Pantomime producer,West Sussex
Marc,8,4,8.4,-0.75,-1,1,6,9,0,8,8.Marc,-1,1,-1,NA,-1,1,1,NA,0,0,0,11,M,51,Bronze resin sculptor,"St Eval, Cornwall"
Mark,8,4,8.4,1.5,2,1,3,9,0,6,8.Mark,0,1,1,NA,1,-1,1,1,1,0,3,11,M,32,Project manager,"Portadown, Northern Ireland"
Peter,8,4,8.4,0.75,0,3,4,9,1,10,8.Peter,0,-1,1,NA,1,1,1,1,0,0,3,11,M,20,Accounting & finance student,Edinburgh
Sura,8,4,8.4,-1.5,-2,-3,7,9,0,4,8.Sura,-1,0,-1,NA,-1,-1,-1,-1,0,1,-5,11,F,31,Hospital pharmacy dispenser,London
Dave,8,5,8.5,-0.4285714285714284,0,3,5,8,0,10,8.Dave,-1,0,1,NA,1,1,1,1,0,0,3,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,5,8.5,2.142857142857143,2,3,2,8,0,9,8.Hermine,1,1,0,NA,1,1,1,1,0,0,5,11,F,39,Accountant,London
Laura,8,5,8.5,-1.2857142857142858,3,3,6,8,0,10,8.Laura,1,1,1,NA,1,1,1,1,1,0,6,11,F,31,Digital manager,"Gravesend, Kent"
Linda,8,5,8.5,-3,1,-1,8,8,0,5,8.Linda,1,1,-1,NA,-1,1,-1,-1,0,1,0,11,F,61,Retirement living team leader,"Bexhill-on-Sea, East Sussex"
Lottie,8,5,8.5,0.4285714285714287,1,2,4,8,0,7,8.Lottie,1,1,-1,NA,1,1,0,NA,0,0,3,11,F,31,Pantomime producer,West Sussex
Marc,8,5,8.5,-2.1428571428571423,-1,1,7,8,0,8,8.Marc,-1,1,-1,NA,-1,1,1,-1,0,0,0,11,M,51,Bronze resin sculptor,"St Eval, Cornwall"
Mark,8,5,8.5,1.2857142857142858,3,-1,3,8,0,6,8.Mark,1,1,1,NA,-1,1,-1,-1,0,0,2,11,M,32,Project manager,"Portadown, Northern Ireland"
Peter,8,5,8.5,3,1,3,1,8,1,10,8.Peter,-1,1,1,NA,1,1,1,1,0,0,4,11,M,20,Accounting & finance student,Edinburgh
Dave,8,6,8.6,1,2,3,3,7,0,10,8.Dave,1,1,0,1,1,1,1,1,0,0,5,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,6,8.6,0,2,-1,4,7,0,9,8.Hermine,1,1,0,NA,-1,1,-1,-1,0,0,1,11,F,39,Accountant,London
Laura,8,6,8.6,-3,-1,2,7,7,0,10,8.Laura,-1,1,-1,-1,1,1,0,-1,0,0,1,11,F,31,Digital manager,"Gravesend, Kent"
Lottie,8,6,8.6,2,3,3,2,7,0,7,8.Lottie,1,1,1,1,1,1,1,1,1,0,6,11,F,31,Pantomime producer,West Sussex
Marc,8,6,8.6,-2,2,3,6,7,0,8,8.Marc,1,1,0,NA,1,1,1,1,0,0,5,11,M,51,Bronze resin sculptor,"St Eval, Cornwall"
Mark,8,6,8.6,-0.9999999999999998,3,-1,5,7,0,6,8.Mark,1,1,1,NA,-1,-1,1,-1,0,1,2,11,M,32,Project manager,"Portadown, Northern Ireland"
Peter,8,6,8.6,3,0,1,1,7,1,10,8.Peter,-1,1,0,NA,1,-1,1,NA,0,0,1,11,M,20,Accounting & finance student,Edinburgh
Dave,8,7,8.7,-3,-1,1,6,6,0,10,8.Dave,0,-1,0,-1,1,1,-1,NA,0,0,0,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,7,8.7,3,1,3,1,6,0,9,8.Hermine,-1,1,1,1,1,1,1,1,1,0,4,11,F,39,Accountant,London
Laura,8,7,8.7,-0.5999999999999999,0,0,4,6,0,10,8.Laura,-1,1,0,-1,0,1,-1,-1,0,0,0,11,F,31,Digital manager,"Gravesend, Kent"
Lottie,8,7,8.7,-1.8000000000000003,3,-2,5,6,0,7,8.Lottie,1,1,1,-1,0,-1,-1,-1,0,1,1,11,F,31,Pantomime producer,West Sussex
Marc,8,7,8.7,0.5999999999999999,2,2,3,6,0,8,8.Marc,1,1,0,NA,0,1,1,1,0,0,4,11,M,51,Bronze resin sculptor,"St Eval, Cornwall"
Peter,8,7,8.7,1.7999999999999998,2,1,2,6,1,10,8.Peter,1,0,1,NA,-1,1,1,NA,0,0,3,11,M,20,Accounting & finance student,Edinburgh
Dave,8,8,8.8,-3,3,1,5,5,0,10,8.Dave,1,1,1,NA,-1,1,1,NA,0,0,4,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,8,8.8,0,-1,3,3,5,0,9,8.Hermine,-1,-1,1,NA,1,1,1,1,1,0,2,11,F,39,Accountant,London
Laura,8,8,8.8,3,1,2,1,5,0,10,8.Laura,1,1,-1,1,1,1,0,1,0,0,3,11,F,31,Digital manager,"Gravesend, Kent"
Marc,8,8,8.8,1.5,-2,-2,2,5,0,8,8.Marc,0,-1,-1,NA,-1,-1,0,-1,0,1,-4,11,M,51,Bronze resin sculptor,"St Eval, Cornwall"
Peter,8,8,8.8,-1.5,0,-1,4,5,1,10,8.Peter,0,1,-1,-1,-1,1,-1,-1,0,0,-1,11,M,20,Accounting & finance student,Edinburgh
Dave,8,9,8.9,-0.9999999999999998,3,3,3,4,0,10,8.Dave,1,1,1,NA,1,1,1,1,0,0,6,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Hermine,8,9,8.9,1,1,-1,2,4,0,9,8.Hermine,-1,1,1,NA,-1,1,-1,-1,0,1,0,11,F,39,Accountant,London
Laura,8,9,8.9,-3,1,1,4,4,0,10,8.Laura,1,0,0,NA,1,1,-1,-1,0,0,2,11,F,31,Digital manager,"Gravesend, Kent"
Peter,8,9,8.9,3,3,3,1,4,1,10,8.Peter,1,1,1,NA,1,1,1,1,1,0,6,11,M,20,Accounting & finance student,Edinburgh
Dave,8,10,8.10,3,2,1,1,3,0,10,8.Dave,1,1,0,1,-1,1,1,NA,0,1,3,11,M,30,Armoured security guard,"Waterlooville, Hampshire"
Laura,8,10,8.10,-3,-1,1,3,3,0,10,8.Laura,-1,1,-1,-1,1,1,-1,NA,0,1,0,11,F,31,Digital manager,"Gravesend, Kent"
Peter,8,10,8.10,0,3,3,2,3,1,10,8.Peter,1,1,1,1,1,1,1,NA,1,0,6,11,M,20,Accounting & finance student,Edinburgh
Amanda,9,1,9.1,-3,-1,-2,12,12,0,6,9.Amanda,0,0,-1,-1,-1,-1,0,-1,0,0,-3,12,F,56,Metropolitan Police detective,London
Chigs,9,1,9.1,-2.454545454545454,3,2,11,12,0,10,9.Chigs,1,1,1,NA,1,1,0,NA,0,0,5,12,M,40,Sales manager,Leicester
Crystelle,9,1,9.1,-0.8181818181818181,2,3,8,12,0,10,9.Crystelle,1,1,0,NA,1,1,1,1,0,0,5,12,F,26,Client relationship manager,London
Freya,9,1,9.1,2.454545454545454,0,3,2,12,0,5,9.Freya,-1,1,0,NA,1,1,1,NA,0,0,3,12,F,19,Student,"Scarborough, North Yorkshire"
George,9,1,9.1,1.9090909090909092,-3,0,3,12,0,7,9.George,-1,-1,-1,-1,0,1,-1,-1,0,0,-3,12,M,34,Shared lives coordinator,London
Giuseppe,9,1,9.1,-1.9090909090909094,3,1,10,12,1,10,9.Giuseppe,1,1,1,1,-1,1,1,1,0,0,4,12,M,45,Chief engineer,Bristol
Jairzeno,9,1,9.1,-1.3636363636363638,1,1,9,12,0,2,9.Jairzeno,1,1,-1,NA,1,1,-1,-1,0,0,2,12,M,51,Head of Finance,London
Jurgen,9,1,9.1,0.2727272727272728,1,3,6,12,0,9,9.Jurgen,1,1,-1,1,1,1,1,1,1,0,4,NA,NA,NA,NA,NA
Lizzie,9,1,9.1,1.3636363636363638,-3,1,4,12,0,8,9.Lizzie,-1,-1,-1,NA,1,1,-1,NA,0,0,-2,12,F,28,Car production operative,Liverpool
Maggie,9,1,9.1,3,2,0,1,12,0,4,9.Maggie,1,1,0,1,1,-1,0,NA,0,0,2,12,F,70,Retired nurse and midwife,"Poole, Dorset"
Rochica,9,1,9.1,-0.2727272727272725,1,1,7,12,0,3,9.Rochica,-1,1,1,NA,0,1,0,NA,0,0,2,12,F,27,Junior HR business partner,Birmingham
Tom,9,1,9.1,0.8181818181818181,-1,-2,5,12,0,1,9.Tom,1,-1,-1,-1,0,-1,-1,-1,0,1,-3,12,M,28,Software developer,"Maidstone, Kent"
Amanda,9,2,9.2,1.2000000000000002,0,1,4,11,0,6,9.Amanda,0,1,-1,NA,1,1,-1,-1,0,0,1,12,F,56,Metropolitan Police detective,London
Chigs,9,2,9.2,-0.5999999999999999,3,3,7,11,0,10,9.Chigs,1,1,1,NA,1,1,1,1,0,0,6,12,M,40,Sales manager,Leicester
