contestant,series,round,episode,tech_rank_scaled,sig_sum,showstopper_sum,tech_rank,n_remaining,series_winner,eliminated_round,baker_id,signature_bake,signature_flavor,signature_looks,first_half_review,showstopper_bake,showstopper_flavor,showstopper_looks,second_half_review,star_baker,eliminated,sig_ss_sum,season,gender,age,occupation,hometown
Kate,5,4,5.4,-0.75,3,3,6,9,0,10,5.Kate,1,1,1,1,1,1,1,1,1,0,6,8,F,29,Health and safety inspector,Merseyside
Liam,5,4,5.4,1.5,3,3,3,9,0,8,5.Liam,1,1,1,1,1,1,1,1,0,0,6,8,M,19,Student,North London
Sophie,5,4,5.4,0.75,-1,3,4,9,1,10,5.Sophie,-1,1,-1,NA,1,1,1,NA,0,0,2,8,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey,5,4,5.4,3,0,2,1,9,0,9,5.Stacey,0,-1,1,1,1,1,0,NA,0,0,2,8,F,42,Former school teacher,"Radlett, Hertfordshire"
Steven,5,4,5.4,-1.5,1,-1,7,9,0,10,5.Steven,0,0,1,NA,-1,-1,1,NA,0,0,0,8,M,34,Marketer,"Watford, Hertfordshire"
Tom,5,4,5.4,0,0,-3,5,9,0,4,5.Tom,0,1,-1,NA,-1,-1,-1,-1,0,1,-3,8,M,29,Architect,Edinburgh
Yan,5,4,5.4,-2.25,1,1,8,9,0,7,5.Yan,-1,1,1,-1,-1,1,1,NA,0,0,2,8,F,46,Laboratory research scientist,North London
James,5,5,5.5,-2.1428571428571423,2,-2,7,8,0,5,5.James,0,1,1,-1,-1,-1,0,-1,0,1,0,8,M,46,Banker,"Brentwood, Essex"
Julia,5,5,5.5,1.2857142857142858,1,-1,3,8,0,6,5.Julia,0,1,0,NA,-1,-1,1,-1,0,0,0,8,F,21,Aviation Broker,"Crawley, West Sussex"
Kate,5,5,5.5,-3,-1,3,8,8,0,10,5.Kate,0,-1,0,-1,1,1,1,NA,0,0,2,8,F,29,Health and safety inspector,Merseyside
Liam,5,5,5.5,2.142857142857143,1,-2,2,8,0,8,5.Liam,-1,1,1,NA,0,-1,-1,-1,0,0,-1,8,M,19,Student,North London
Sophie,5,5,5.5,3,-1,3,1,8,1,10,5.Sophie,-1,1,-1,NA,1,1,1,1,1,0,2,8,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey,5,5,5.5,0.4285714285714287,3,3,4,8,0,9,5.Stacey,1,1,1,1,1,1,1,1,0,0,6,8,F,42,Former school teacher,"Radlett, Hertfordshire"
Steven,5,5,5.5,-0.4285714285714284,3,1,5,8,0,10,5.Steven,1,1,1,1,-1,1,1,NA,0,0,4,8,M,34,Marketer,"Watford, Hertfordshire"
Yan,5,5,5.5,-1.2857142857142858,3,1,6,8,0,7,5.Yan,1,1,1,1,-1,1,1,NA,0,0,4,8,F,46,Laboratory research scientist,North London
Julia,5,6,5.6,-3,-2,-3,7,7,0,6,5.Julia,-1,-1,0,-1,-1,-1,-1,-1,0,1,-5,8,F,21,Aviation Broker,"Crawley, West Sussex"
Kate,5,6,5.6,-0.9999999999999998,-3,3,5,7,0,10,5.Kate,-1,-1,-1,-1,1,1,1,NA,0,0,0,8,F,29,Health and safety inspector,Merseyside
Liam,5,6,5.6,0,3,1,4,7,0,8,5.Liam,1,1,1,1,1,1,-1,1,1,0,4,8,M,19,Student,North London
Sophie,5,6,5.6,2,3,3,2,7,1,10,5.Sophie,1,1,1,1,1,1,1,1,0,0,6,8,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey,5,6,5.6,-2,3,-3,6,7,0,9,5.Stacey,1,1,1,-1,-1,-1,-1,-1,0,0,0,8,F,42,Former school teacher,"Radlett, Hertfordshire"
Steven,5,6,5.6,1,2,0,3,7,0,10,5.Steven,1,1,0,NA,0,-1,1,NA,0,0,2,8,M,34,Marketer,"Watford, Hertfordshire"
Yan,5,6,5.6,3,-3,3,1,7,0,7,5.Yan,-1,-1,-1,NA,1,1,1,1,0,0,0,8,F,46,Laboratory research scientist,North London
Kate,5,7,5.7,-3,0,0,6,6,0,10,5.Kate,0,1,-1,-1,0,1,-1,-1,0,0,0,8,F,29,Health and safety inspector,Merseyside
Liam,5,7,5.7,1.7999999999999998,2,3,2,6,0,8,5.Liam,0,1,1,1,1,1,1,1,0,0,5,8,M,19,Student,North London
Sophie,5,7,5.7,0.5999999999999999,3,3,3,6,1,10,5.Sophie,1,1,1,1,1,1,1,1,0,0,6,8,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey,5,7,5.7,-0.5999999999999999,0,-1,4,6,0,9,5.Stacey,-1,1,0,NA,-1,1,-1,-1,0,0,-1,8,F,42,Former school teacher,"Radlett, Hertfordshire"
Steven,5,7,5.7,3,3,3,1,6,0,10,5.Steven,1,1,1,1,1,1,1,1,1,0,6,8,M,34,Marketer,"Watford, Hertfordshire"
Yan,5,7,5.7,-1.8000000000000003,-1,1,5,6,0,7,5.Yan,-1,1,-1,-1,0,1,0,-1,0,1,0,8,F,46,Laboratory research scientist,North London
Kate,5,8,5.8,1.5,-2,-1,2,5,0,10,5.Kate,-1,0,-1,-1,0,0,-1,-1,0,0,-3,8,F,29,Health and safety inspector,Merseyside
Liam,5,8,5.8,-3,1,-3,5,5,0,8,5.Liam,-1,1,1,-1,-1,-1,-1,-1,0,1,-2,8,M,19,Student,North London
Sophie,5,8,5.8,-1.5,1,2,4,5,1,10,5.Sophie,1,1,-1,-1,0,1,1,NA,0,0,3,8,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey,5,8,5.8,0,3,3,3,5,0,9,5.Stacey,1,1,1,1,1,1,1,1,1,0,6,8,F,42,Former school teacher,"Radlett, Hertfordshire"
Steven,5,8,5.8,3,-1,3,1,5,0,10,5.Steven,-1,-1,1,1,1,1,1,1,0,0,2,8,M,34,Marketer,"Watford, Hertfordshire"
Kate,5,9,5.9,-3,3,2,4,4,0,10,5.Kate,1,1,1,NA,1,1,0,1,0,0,5,8,F,29,Health and safety inspector,Merseyside
Sophie,5,9,5.9,3,1,2,1,4,1,10,5.Sophie,-1,1,1,NA,1,1,0,1,1,0,3,8,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey,5,9,5.9,1,-3,1,2,4,0,9,5.Stacey,-1,-1,-1,-1,0,0,1,-1,0,1,-2,8,F,42,Former school teacher,"Radlett, Hertfordshire"
Steven,5,9,5.9,-0.9999999999999998,-1,-1,3,4,0,10,5.Steven,-1,1,-1,NA,-1,1,-1,-1,0,0,-2,8,M,34,Marketer,"Watford, Hertfordshire"
Kate,5,10,5.10,-3,3,3,3,3,0,10,5.Kate,1,1,1,0,1,1,1,NA,0,1,6,8,F,29,Health and safety inspector,Merseyside
Sophie,5,10,5.10,0,1,3,2,3,1,10,5.Sophie,-1,1,1,0,1,1,1,NA,1,0,4,8,F,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Steven,5,10,5.10,3,-1,-1,1,3,0,10,5.Steven,-1,1,-1,0,-1,1,-1,NA,0,1,-2,8,M,34,Marketer,"Watford, Hertfordshire"
Antony,6,1,6.1,-3,3,3,12,12,0,3,6.Antony,1,1,1,NA,1,1,1,NA,0,0,6,9,M,30,Banker,London
Briony,6,1,6.1,2.454545454545454,3,1,2,12,0,9,6.Briony,1,1,1,NA,1,-1,1,1,0,0,4,9,F,33,Stay at home parent,Bristol
Dan,6,1,6.1,1.3636363636363638,-1,3,4,12,0,6,6.Dan,-1,1,-1,NA,1,1,1,NA,0,0,2,9,M,36,Stay at home parent,London
Imelda,6,1,6.1,-2.454545454545454,3,-3,11,12,0,1,6.Imelda,1,1,1,NA,-1,-1,-1,-1,0,1,0,9,F,33,Countryside recreation officer,County Tyrone
Jon,6,1,6.1,0.8181818181818181,-3,1,5,12,0,7,6.Jon,-1,-1,-1,NA,1,1,-1,NA,0,0,-2,9,M,47,Blood courier,Newport
Karen,6,1,6.1,0.2727272727272728,2,0,6,12,0,5,6.Karen,0,1,1,NA,0,-1,1,NA,0,0,2,9,F,60,In-store sampling assistant,Wakefield
Kim-Joy,6,1,6.1,-1.9090909090909094,3,1,10,12,0,10,6.Kim-Joy,1,1,1,NA,0,0,1,NA,0,0,4,9,F,27,Mental health specialist,Leeds
