season,contestant,gender,age,occupation,hometown,round,technical,series
9,Dan,M,36,Stay at home parent,London,3,6,6
9,Jon,M,47,Blood courier,Newport,3,2,6
9,Karen,F,60,In-store sampling assistant,Wakefield,3,5,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,3,10,6
9,Manon,F,26,Software project manager,London,3,3,6
9,Rahul,M,30,Research scientist,Rotherham,3,4,6
9,Ruby,F,29,Project manager,London,3,7,6
9,Terry,M,56,Retired air steward,West Midlands,3,1,6
9,Briony,F,33,Stay at home parent,Bristol,4,5,6
9,Dan,M,36,Stay at home parent,London,4,1,6
9,Jon,M,47,Blood courier,Newport,4,3,6
9,Karen,F,60,In-store sampling assistant,Wakefield,4,7,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,4,6,6
9,Manon,F,26,Software project manager,London,4,8,6
9,Rahul,M,30,Research scientist,Rotherham,4,4,6
9,Ruby,F,29,Project manager,London,4,2,6
9,Briony,F,33,Stay at home parent,Bristol,5,6,6
9,Dan,M,36,Stay at home parent,London,5,2,6
9,Jon,M,47,Blood courier,Newport,5,7,6
9,Karen,F,60,In-store sampling assistant,Wakefield,5,9,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,5,4,6
9,Manon,F,26,Software project manager,London,5,5,6
9,Rahul,M,30,Research scientist,Rotherham,5,3,6
9,Ruby,F,29,Project manager,London,5,1,6
9,Terry,M,56,Retired air steward,West Midlands,5,8,6
9,Briony,F,33,Stay at home parent,Bristol,6,1,6
9,Dan,M,36,Stay at home parent,London,6,6,6
9,Jon,M,47,Blood courier,Newport,6,2,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,6,5,6
9,Manon,F,26,Software project manager,London,6,4,6
9,Rahul,M,30,Research scientist,Rotherham,6,3,6
9,Ruby,F,29,Project manager,London,6,7,6
9,Briony,F,33,Stay at home parent,Bristol,7,5,6
9,Jon,M,47,Blood courier,Newport,7,4,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,7,6,6
9,Manon,F,26,Software project manager,London,7,2,6
9,Rahul,M,30,Research scientist,Rotherham,7,1,6
9,Ruby,F,29,Project manager,London,7,3,6
9,Briony,F,33,Stay at home parent,Bristol,8,1,6
9,Kim-Joy,F,27,Mental health specialist,Leeds,8,2,6
9,Manon,F,26,Software project manager,London,8,4,6
9,Rahul,M,30,Research scientist,Rotherham,8,5,6
