season,contestant,gender,age,occupation,hometown,round,technical,series
14,Abbi,F,27,Delivery driver,Cumbria,1,3,11
14,Amos,M,43,Deli and grocery manager,London,1,2,11
14,Cristy,F,33,Personal assistant,London,1,6,11
14,Dan,M,42,Civil engineering resource planner,Cheshire,1,1,11
14,Dana,F,25,Database administrator,Essex,1,12,11
14,Josh,M,27,Chemical biology post-doctoral research associate,Leicestershire,1,8,11
14,Keith,M,60,Chartered accountant,Hampshire,1,4,11
14,Matty,M,28,PE and science teacher,Cambridgeshire,1,7,11
14,Nicky,F,52,Retired cabin crew and pet-therapy charity volunteer,Shropshire,1,10,11
14,Rowan,M,21,English literature student,West Yorkshire,1,9,11
14,Saku,F,50,Intelligence analyst,Herefordshire,1,5,11
14,Tasha,F,27,Children's charity participation officer,Bristol,1,11,11
14,Abbi,F,27,Delivery driver,Cumbria,2,1,11
14,Cristy,F,33,Personal assistant,London,2,9,11
14,Dan,M,42,Civil engineering resource planner,Cheshire,2,2,11
14,Dana,F,25,Database administrator,Essex,2,7,11
14,Josh,M,27,Chemical biology post-doctoral research associate,Leicestershire,2,6,11
14,Keith,M,60,Chartered accountant,Hampshire,2,11,11
14,Matty,M,28,PE and science teacher,Cambridgeshire,2,5,11
14,Nicky,F,52,Retired cabin crew and pet-therapy charity volunteer,Shropshire,2,4,11
14,Rowan,M,21,English literature student,West Yorkshire,2,3,11
14,Saku,F,50,Intelligence analyst,Herefordshire,2,10,11
14,Tasha,F,27,Children's charity participation officer,Bristol,2,8,11
14,Abbi,F,27,Delivery driver,Cumbria,3,8,11
14,Cristy,F,33,Personal assistant,London,3,6,11
14,Dan,M,42,Civil engineering resource planner,Cheshire,3,10,11
14,Dana,F,25,Database administrator,Essex,3,3,11
14,Josh,M,27,Chemical biology post-doctoral research associate,Leicestershire,3,4,11
14,Matty,M,28,PE and science teacher,Cambridgeshire,3,7,11
14,Nicky,F,52,Retired cabin crew and pet-therapy charity volunteer,Shropshire,3,5,11
14,Rowan,M,21,English literature student,West Yorkshire,3,9,11
14,Saku,F,50,Intelligence analyst,Herefordshire,3,1,11
14,Tasha,F,27,Children's charity participation officer,Bristol,3,2,11
14,Cristy,F,33,Personal assistant,London,4,7,11
14,Dan,M,42,Civil engineering resource planner,Cheshire,4,1,11
14,Dana,F,25,Database administrator,Essex,4,5,11
14,Josh,M,27,Chemical biology post-doctoral research associate,Leicestershire,4,6,11
14,Matty,M,28,PE and science teacher,Cambridgeshire,4,2,11
14,Nicky,F,52,Retired cabin crew and pet-therapy charity volunteer,Shropshire,4,4,11
14,Rowan,M,21,English literature student,West Yorkshire,4,3,11
14,Saku,F,50,Intelligence analyst,Herefordshire,4,8,11
14,Cristy,F,33,Personal assistant,London,5,5,11
14,Dan,M,42,Civil engineering resource planner,Cheshire,5,1,11
14,Dana,F,25,Database administrator,Essex,5,2,11
14,Josh,M,27,Chemical biology post-doctoral research associate,Leicestershire,5,8,11
14,Matty,M,28,PE and science teacher,Cambridgeshire,5,7,11
14,Nicky,F,52,Retired cabin crew and pet-therapy charity volunteer,Shropshire,5,9,11
14,Rowan,M,21,English literature student,West Yorkshire,5,4,11
14,Saku,F,50,Intelligence analyst,Herefordshire,5,6,11
14,Tasha,F,27,Children's charity participation officer,Bristol,5,3,11
14,Cristy,F,33,Personal assistant,London,6,1,11
14,Dan,M,42,Civil engineering resource planner,Cheshire,6,3,11
14,Dana,F,25,Database administrator,Essex,6,6,11
14,Josh,M,27,Chemical biology post-doctoral research associate,Leicestershire,6,2,11
14,Matty,M,28,PE and science teacher,Cambridgeshire,6,4,11
14,Saku,F,50,Intelligence analyst,Herefordshire,6,5,11
14,Tasha,F,27,Children's charity participation officer,Bristol,6,7,11
14,Cristy,F,33,Personal assistant,London,7,4,11
14,Dan,M,42,Civil engineering resource planner,Cheshire,7,2,11
14,Josh,M,27,Chemical biology post-doctoral research associate,Leicestershire,7,3,11
14,Matty,M,28,PE and science teacher,Cambridgeshire,7,6,11
14,Saku,F,50,Intelligence analyst,Herefordshire,7,5,11
14,Tasha,F,27,Children's charity participation officer,Bristol,7,1,11
14,Cristy,F,33,Personal assistant,London,8,2,11
14,Dan,M,42,Civil engineering resource planner,Cheshire,8,5,11
14,Josh,M,27,Chemical biology post-doctoral research associate,Leicestershire,8,4,11
14,Matty,M,28,PE and science teacher,Cambridgeshire,8,3,11
14,Tasha,F,27,Children's charity participation officer,Bristol,8,1,11
14,Dan,M,42,Civil engineering resource planner,Cheshire,9,3,11
14,Josh,M,27,Chemical biology post-doctoral research associate,Leicestershire,9,1,11
14,Matty,M,28,PE and science teacher,Cambridgeshire,9,2,11
14,Tasha,F,27,Children's charity participation officer,Bristol,9,4,11
14,Dan,M,42,Civil engineering resource planner,Cheshire,10,2,11
14,Josh,M,27,Chemical biology post-doctoral research associate,Leicestershire,10,1,11
14,Matty,M,28,PE and science teacher,Cambridgeshire,10,3,11
